method; model; mean acc; med acc; mean cmp; med cmp
"s = 64,  \tau = 0:7, \gamma = 80%"; 12; 0.377946925; 0.178634033; 0.817975104; 0.182887044
"s = 64,  \tau = 0:7, \gamma = 80%"; 13; 0.344307191; 0.141153844; 4.036944844; 0.247142781
"s = 64,  \tau = 0:7, \gamma = 80%"; 15; 0.400398868; 0.224809123; 0.713898311; 0.221817081
"s = 64,  \tau = 0:7, \gamma = 80%"; 23; 0.507985127; 0.266411032; 0.683132652; 0.245169476
"s = 64,  \tau = 0:7, \gamma = 80%"; 24; 0.74655182; 0.191364719; 1.0412688; 0.198201309
"s = 64,  \tau = 0:7, \gamma = 80%"; 29; 0.703906478; 0.25796811; 1.421787098; 0
"s = 64,  \tau = 0:7, \gamma = 80%"; 32; 0.379695125; 0.227719322; 1.124863173; 0.174338826
"s = 64,  \tau = 0:7, \gamma = 80%"; 33; 0.401964353; 0.19711905; 0.825770723; 0
"s = 64,  \tau = 0:7, \gamma = 80%"; 34; 0.332750848; 0.228139717; 0.498619892; 0.206334589
"s = 64,  \tau = 0:7, \gamma = 80%"; 48; 0.558693516; 0.224076535; 1.292348094; 0.222398313
"s = 64,  \tau = 0:7, \gamma = 80%"; 49; 0.408004141; 0.175162212; 0.946559865; 0
"s = 64,  \tau = 0:7, \gamma = 80%"; 62; 0.457982362; 0.23415002; 1.47468104; 0.139612241
"s = 64,  \tau = 0:7, \gamma = 80%"; 75; 0.734067827; 0.181659236; 0.439564367; 0
"s = 64,  \tau = 0:7, \gamma = 80%"; 77; 1.073708799; 0.227654585; 0.089302728; 0
"s = 64,  \tau = 0:7, \gamma = 80%"; 110; 0.322856456; 0.124174952; 0.706619851; 0.1638284
"s = 64,  \tau = 0:7, \gamma = 80%"; 114; 0.211392734; 0.13228603; 0.627020935; 0.204556603
"s = 64,  \tau = 0:7, \gamma = 80%"; 118; 0.233235034; 0.11005648; 0.934896926; 0.211971809

"s = 64, adapt \beta = 6, \gamma = 80%"; 1; 0.282004335; 0.146596239; 3.830816998; 0.307733908
"s = 64, adapt \beta = 6, \gamma = 80%"; 4; 0.278029399; 0.158459781; 5.58443433; 0.35374339
"s = 64, adapt \beta = 6, \gamma = 80%"; 9; 0.352742077; 0.210363632; 1.741997248; 0.493571781
"s = 64, adapt \beta = 6, \gamma = 80%"; 10; 0.296714957; 0.18518697; 1.789484417; 0.193731666
"s = 64, adapt \beta = 6, \gamma = 80%"; 11; 0.269008142; 0.17227475; 6.419197459; 2.168400405
"s = 64, adapt \beta = 6, \gamma = 80%"; 12; 0.278725175; 0.159960229; 1.324962364; 0.218312887
"s = 64, adapt \beta = 6, \gamma = 80%"; 13; 0.360761133; 0.164751673; 4.898116139; 0.40986297
"s = 64, adapt \beta = 6, \gamma = 80%"; 15; 0.295038899; 0.199926645; 1.752208433; 0.428085154
"s = 64, adapt \beta = 6, \gamma = 80%"; 23; 0.379335974; 0.260967212; 2.247052562; 0.614989845
"s = 64, adapt \beta = 6, \gamma = 80%"; 24; 0.260259743; 0.192801117; 2.903288719; 0.333715362
"s = 64, adapt \beta = 6, \gamma = 80%"; 29; 0.379058387; 0.230306993; 3.276829646; 0
"s = 64, adapt \beta = 6, \gamma = 80%"; 32; 0.25239531; 0.190226067; 2.964018889; 0.224226485
"s = 64, adapt \beta = 6, \gamma = 80%"; 33; 0.240628157; 0.178144183; 1.890610961; 0
"s = 64, adapt \beta = 6, \gamma = 80%"; 34; 0.291932946; 0.216392968; 0.665765331; 0.234434673
"s = 64, adapt \beta = 6, \gamma = 80%"; 48; 0.448687776; 0.220577633; 3.880207138; 0.661164839
"s = 64, adapt \beta = 6, \gamma = 80%"; 49; 0.264576918; 0.167381749; 2.682011661; 0
"s = 64, adapt \beta = 6, \gamma = 80%"; 62; 0.241770568; 0.181887225; 3.497559812; 0.175584692
"s = 64, adapt \beta = 6, \gamma = 80%"; 75; 0.259556485; 0.167254935; 1.367094898; 0
"s = 64, adapt \beta = 6, \gamma = 80%"; 77; 0.723595991; 0.175527505; 0.289379107; 0
"s = 64, adapt \beta = 6, \gamma = 80%"; 110; 0.203353603; 0.156680386; 1.517465041; 0.194029209
"s = 64, adapt \beta = 6, \gamma = 80%"; 114; 0.194623176; 0.144126639; 1.318909068; 0.245381684
"s = 64, adapt \beta = 6, \gamma = 80%"; 118; 0.194318319; 0.146737073; 2.44884935; 0.270817026
